433,A010600,1,와이비로드
434,A010620,1,현대미포조선
435,A010640,1,진양폴리
436,A010660,1,화천기계
437,A010690,1,화신
438,A010770,1,평화홀딩스
439,A010780,1,아이에스동서
440,A010820,1,퍼스텍
441,A010950,1,S-Oil
442,A010955,1,S-Oil우
443,A010960,1,삼호개발
444,A011000,1,진원생명과학
445,A011070,1,LG이노텍
446,A011090,1,에넥스
447,A011150,1,CJ씨푸드
448,A011155,1,CJ씨푸드1우
449,A011160,1,두산건설
450,A011170,1,롯데케미칼
451,A011200,1,현대상선
452,A011210,1,현대위아
453,A011230,1,삼화전자
454,A011280,1,태림포장
455,A011300,1,성안
456,A011330,1,유니켐
457,A011390,1,부산산업
458,A011420,1,갤럭시아에스엠
459,A011500,1,한농화성
460,A011690,1,유양디앤유
461,A011700,1,한신기계
462,A011760,1,현대상사
463,A011780,1,금호석유
464,A011785,1,금호석유우
465,A011790,1,SKC
466,A011810,1,STX
467,A011930,1,신성이엔지
468,A012030,1,DB
469,A012160,1,영흥철강
470,A012170,1,키위미디어그룹
471,A012200,1,계양전기
472,A012205,1,계양전기우
473,A012280,1,영화금속
474,A012320,1,경동인베스트
475,A012330,1,현대모비스
476,A012450,1,한화테크윈
477,A012510,1,더존비즈온
478,A012600,1,청호컴넷
479,A012610,1,경인양행
480,A012630,1,현대산업
481,A012690,1,모나리자
482,A012750,1,에스원
483,A012800,1,대창
484,A013000,1,세우글로벌
485,A013360,1,일성건설
486,A013367,1,일성건설2우B
487,A013520,1,화승알앤에이
488,A013570,1,디와이
489,A013580,1,계룡건설
490,A013700,1,까뮤이앤씨
491,A013870,1,지엠비코리아
492,A014130,1,한익스프레스
493,A014160,1,대영포장
494,A014280,1,금강공업
495,A014285,1,금강공업우
496,A014440,1,영보화학
497,A014530,1,극동유화
498,A014580,1,백광소재
499,A014680,1,한솔케미칼
500,A014710,1,사조씨푸드
501,A014790,1,한라
502,A014820,1,동원시스템즈
503,A014825,1,동원시스템즈우
504,A014830,1,유니드
505,A014910,1,성문전자
506,A014915,1,성문전자우
507,A014990,1,인디에프
508,A015020,1,이스타코
509,A015230,1,대창단조
510,A015260,1,에이엔피
511,A015350,1,부산가스
512,A015360,1,예스코
513,A015540,1,메디플란트
514,A015590,1,대경기계
515,A015760,1,한국전력
516,A015860,1,일진홀딩스
517,A015890,1,태경산업
518,A016090,1,대현
519,A016360,1,삼성증권
520,A016380,1,동부제철
521,A016385,1,동부제철우
522,A016450,1,한세예스24홀딩스
523,A016580,1,환인제약
524,A016590,1,신대양제지
525,A016610,1,DB금융투자
526,A016710,1,대성홀딩스
527,A016740,1,두올
528,A016800,1,퍼시스
529,A016880,1,웅진
530,A017040,1,광명전기
531,A017180,1,명문제약
532,A017370,1,우신시스템
533,A017390,1,서울가스
534,A017550,1,수산중공업
535,A017670,1,SK텔레콤
